iter	Passed	Remaining
0	0	63
1	1	57
2	1	54
3	2	49
4	2	49
5	3	48
6	3	50
7	4	51
8	5	51
9	5	50
10	6	50
11	6	50
12	7	50
13	8	51
14	9	51
15	9	51
16	10	51
17	11	51
18	11	50
19	12	49
20	12	48
21	13	47
22	13	46
23	14	45
24	14	44
25	15	43
26	15	43
27	16	42
28	16	41
29	17	40
30	18	40
31	18	40
32	19	40
33	20	39
34	20	38
35	21	38
36	21	37
37	22	36
38	22	35
39	23	35
40	24	34
41	24	33
42	24	32
43	25	32
44	25	31
45	26	30
46	26	30
47	27	29
48	27	28
49	28	28
50	28	27
51	29	27
52	29	26
53	30	25
54	30	25
55	31	24
56	31	23
57	32	23
58	32	22
59	33	22
60	33	21
61	34	21
62	34	20
63	35	19
64	35	19
65	36	18
66	37	18
67	37	17
68	38	17
69	38	16
70	39	15
71	39	15
72	40	14
73	40	14
74	41	13
75	41	13
76	42	12
77	42	12
78	43	11
79	43	10
80	44	10
81	44	9
82	45	9
83	45	8
84	46	8
85	46	7
86	47	7
87	47	6
88	48	5
89	49	5
90	49	4
91	50	4
92	50	3
93	51	3
94	51	2
95	52	2
96	52	1
97	53	1
98	53	0
99	54	0
