iter	Passed	Remaining
0	0	796
1	1	711
2	2	676
3	2	664
4	3	661
5	4	676
6	4	681
7	5	669
8	6	662
9	6	661
10	7	649
11	7	646
12	8	640
13	9	638
14	9	634
15	10	630
16	10	627
17	11	622
18	12	619
19	12	616
20	13	615
21	13	614
22	14	613
23	15	610
24	15	610
25	16	607
26	16	605
27	17	603
28	18	607
29	18	612
30	19	615
31	20	613
32	20	613
33	21	613
34	22	611
35	22	608
36	23	607
37	23	605
38	24	604
39	25	604
40	25	605
41	26	605
42	27	605
43	27	605
44	28	608
45	29	608
46	29	607
47	30	607
48	31	608
49	31	606
50	32	606
51	33	606
52	34	608
53	34	610
54	35	610
55	36	608
56	36	607
57	37	605
58	37	604
59	38	602
60	39	601
61	39	600
62	40	598
63	40	596
64	41	596
65	42	594
66	42	593
67	43	591
68	43	590
69	44	589
70	44	588
71	45	587
72	46	585
73	46	583
74	47	582
75	47	581
76	48	582
77	49	582
78	49	582
79	50	581
80	51	580
81	51	579
82	52	574
83	52	573
84	53	572
85	53	570
86	54	569
87	54	568
88	55	567
89	55	566
90	56	564
91	57	564
92	57	562
93	58	561
94	58	560
95	59	559
96	60	558
97	60	557
98	61	556
99	61	555
100	62	554
101	62	553
102	63	554
103	64	554
104	65	554
105	65	554
106	66	553
107	66	551
108	67	550
109	67	549
110	68	548
111	69	548
112	69	547
113	70	546
114	70	545
115	71	544
116	71	542
117	72	541
118	73	540
119	73	539
120	74	539
121	74	537
122	75	536
123	75	536
124	76	535
125	77	535
126	77	533
127	78	533
128	78	532
129	79	531
130	80	531
131	80	530
132	81	529
133	81	529
134	82	528
135	83	527
136	83	526
137	84	524
138	84	523
139	85	522
140	85	520
141	85	518
142	86	517
143	86	516
144	87	514
145	87	513
146	88	512
147	88	511
148	89	509
149	89	509
150	90	507
151	90	507
152	91	506
153	91	504
154	92	503
155	92	502
156	93	501
157	93	500
158	94	500
159	95	500
160	95	498
161	96	497
162	96	496
163	97	496
164	97	495
165	98	494
166	99	493
167	99	493
168	100	492
169	100	491
170	101	490
171	101	489
172	102	488
173	102	487
174	103	486
175	103	485
176	104	484
177	104	483
178	105	482
179	105	481
180	106	480
181	106	479
182	107	478
183	107	478
184	108	477
185	108	476
186	109	476
187	110	475
188	110	475
189	111	475
190	112	475
191	112	475
192	113	474
193	113	473
194	114	472
195	114	471
196	115	470
197	115	469
198	116	468
199	116	467
200	117	466
201	117	466
202	118	465
203	118	464
204	119	464
205	120	463
206	120	463
207	121	462
208	121	461
209	122	460
210	123	460
211	123	459
212	124	458
213	124	458
214	125	458
215	126	458
216	126	458
217	127	457
218	127	456
219	128	455
220	128	454
221	129	453
